title,date,question,answer
[GCP资格认定复核检查受理问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=5232),2015/3/25,"咨询内容：老师：
     您好！我们医院2015年1月初已收到“GCP资格认定复核受理通知书，已取到受理号（GCP20140077XF），但在网上查不到已受理的情况。请问是不是收到受理通知书就代表已经受理，还是一定要在网上查到受理号才算受理？","回复：您好！
你们的资料已到我中心，请做好复核检查准备。"
[gcp证书](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=5127),2015/3/23,咨询内容：gcp培训如何报名,回复：核查中心不负责GCP培训工作，建议咨询总局高级研修院，了解当年培训计划安排和报名事宜。
[中山大学肿瘤防治中心颁发的GCP培训证书国家食品药品监督管理局是否认可](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4528),2015/1/5,"咨询内容：请问：
中山大学肿瘤防治中心“药物临床试验机构”于2014年3月28 -- 30日举办“药物临床试验法规、技术和实战操作”GCP培训班（第11期），所颁发的GCP培训证书国家食品药品监督管理局是否认可？多谢！",回复：GCP的培训形式可根据医院各自的情况采取不同形式，其核心是研究者应掌握国家相关法规要求和GCP原则，保证药物临床试验的规范性。
[关于GCP质量管理员专业的要求的问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4944),2015/1/5,咨询内容：GCP征求意见稿里面规定质量管理员具有医药学等相关专业本科以上学历，生物科学专业可以担任质量管理员吗？,回复：可以。
[关于《药物临床试验机构资格认定检查细则（试行）》的问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=5036),2014/12/26,咨询内容：老师您好，因为我们准备申请药物临床试验机构资格，现在准备申请材料，想咨询您一下，关于GCP培训的问题，每个要申请资格的临床专业具体要求有几位医务人员接受高级研究学院的GCP的网络培训班呢？药物临床试验技术和GCP相关法规的培训都包括在网络课程里吗？还是药物临床试验技术要从别的途径单独培训？真的谢谢您，帮助我们解决急需的问题！,回复：您好！我单位是检查机构，不负责培训，关于高级研修学院GCP网络培训的内容建议您询问高级研修学院。关于申请资格的专业研究人员的培训问题，请仔细查看《药物临床试验资格认定办法》中所附的《药物临床试验机构资格认定标准》（附件2）及我中心网站公布的《药物临床试验机构资格认定检查细则（试行）》（http://192.168.2.2/ccdweb/main?fid=open&fun=show_news&from=view&nid=6342），内有详细的要求。
[网上培训获得的GCP证书SFDA是否认可？](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4453),2014/5/19,咨询内容：您好，请问通过由昆泰跨国公司（Quintiles Transnational Corporation）与国家食品药品监督管理局药品认证管理中心 （CCD-SFDA）联合提供的全球GCP（Good Clinical Practices）网络培训获得的GCP证书，国家局是否认可？谢谢,回复：您好！这个肯定是认可的。其实培训的主要目的是获得GCP知识和药物临床试验技术，至于培训的方式不是最重要的，关键还是学以致用并通过国家局检查组的现场考核。
[药物临床机构的GCP认证分期（临床Ⅰ期，Ⅱ期Ⅲ期或Ⅳ期）吗？](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4542),2014/5/19,"咨询内容：老师您好，我们公司准备做一个精神病药物的生物等效性试验,联系了几家医院，部分医院没有一期资质，不能进行，也有的医院说只要有临床试验资质（GCP认证）且有Ⅰ期病房，就可以进行生物等效性试验。我想确认一下，咱们国家GCP认证，分期（临床Ⅰ期，Ⅱ期Ⅲ期或Ⅳ期）吗？",回复：您好！目前我国药物临床试验机构资格认定是按机构和专业进行认定的，尚未分期认定，也未给任何机构颁发过I期临床试验研究室的资格证书。
[临床药品生产企业的资质](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4677),2014/5/16,"咨询内容：根据GCP要求，临床药品必须在GMP环境下组织生产。因此GCP QA在伦理审核过程中希望企业提供符合要求的书面证明方能同意药品进入临床。对于新药来说，无法提供GMP证书，故有时提供药品生产企业许可证。但有时，临床药品在药品研究机构组织生产的，完全按GMP要求进行的，但企业无药品生产企业许可证和GMP证书，是否可由企业出具书面证明，还是必须要取得药品生产企业许可证。

谢谢！",回复：临床试验用药品在药品研究机构组织生产且完全按GMP要求进行的，可申请由省局组织现场核查后出具符合GMP条件的证明即可。
[咨询GCP相关规定](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4441),2014/2/18,咨询内容：你好！请问一下临床试验中的电子数据采集（EDC）技术指导原则》和《临床试验中的计算机系统验证技术指导原则》什么时候可以发布？,回复：您好！有关药物临床试验的技术指导原则事宜清询问药品审评中心。
[关于一次性疫苗临床试验机构资格认定管理规定](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4191),2014/1/2,"咨询内容：认证中心老师：
   您好！
   有一个问题想咨询一下：关于新出的《一次性疫苗临床试验机构资格认定管理规定》法规，我们企业打算在原先的临床试验（2010年开展）的基础上做一个免疫持久性研究，将之前接种的人群召回抽血，进行一项免疫持久性研究。请问临床基地是否同样需要申请一次性疫苗临床试验机构资格认定？谢谢！",回复：如果负责机构和所有的试验现场均为具有有效药物临床试验机构资格认定证书（包括机构和专业），则可不申请一次性疫苗临床试验机构资格认定。
[药物临床试验核查](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4020),2013/12/2,咨询内容：临床核查时抽取 的病例数比例是多少,回复：一般是25份以下全部检查，超过时适当增加抽查比例。
[GCP证书丢了怎么办](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=4019),2013/11/26,"咨询内容：您好！
    我的GCP证书拿到单位与科里同事一同保存，但由于工作人员的疏忽已找不着证书原件，请问如何处理为好？可以补证书吗？请您百忙中尽快回复，谢谢！","回复：1、咨询原培训单位一下，看能否补办；
2、GCP培训不能仅培训一次就万事大吉，需要不断培训。"
[GCP认证培训](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=3944),2013/11/4,咨询内容：我院将进行首次GCP认证，参与认证人员是否只能参加GCP的专项培训班？谢谢！,回复：是的，参加资格认证所有人员要经过GCP培训。
[新增儿童适用人群需要做多少对临床试验](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=3670),2013/9/24,咨询内容：一个化药品种，已经在国内和国外批准上市，但是国内还没有适用于儿童人群和适用于儿童的最小规格，想增加儿童人群和增加规格，如果申报这个品总是按六类申报吗？需要做多少对临床试验？,回复：此问题请咨询药品审评中心。
[经过GCP认证是否能承接生物等效性试验](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=3477),2013/9/4,咨询内容：专家您好！我医院经过了GCP认证，但没有一期认证，请问是否能够承接生物等效性试验呢？,回复：我中心负责GCP现场检查，有关政策性问题请咨询国家食品药品监督管理总局药品化妆品注册管理司。
[关于GCP认证的问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=3458),2013/8/7,咨询内容：老师，您好！想问一下郑州大学第一附属医院的药物临床试验机构资格什么时候下来，谢谢！,回复：资料已提交到国家药监总局药品化妆品注册管理司研究监督处，您可向他们咨询，谢谢！
[如何进行GCP网上培训？](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=3309),2013/6/13,咨询内容：在网页的首页有GCP网上培训的链接？我如何才能获得网上培训的资格，费用怎么交？,回复：您好！我们这个GCP培训是面向GCP知识较丰富，参加过较多药物临床试验的研究者和省药监局监管人员，主要内容是ICH-GCP培训，全英文，是免费的，但名额有限。如果您觉得符合条件，需要你们机构推荐，提交个人信息表格，审核通过后可以参加。如果您是初学者，建议去咨询国家食品药品监督管理总局高级研修学院，他们那儿有各种GCP培训，但需要收取一定费用。
[药物临床试验机构资格复核系统解锁](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=3112),2013/6/7,咨询内容：您好！我院有专业到期需要进行认证复核，登录“复核检查系统”提示需要申请解除数据锁定，方可开始填报，但页面上的联系电话座机为空号，麻烦告知可联系的部门及电话，谢谢！,回复：复核检查专项任务支持电话：18701589909。详情请登录http://fuhe.chinagcp.org。
[关于药物临床研究机构](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=2272),2009/12/7,"咨询内容：老师，您好！
我公司有一治疗急性喉炎的中药新药拟开展3期临床研究，打算请山东中医药大学附属医院参加，该院的耳鼻喉专业GCP认证待审批，请问何时能得到批复？据该院药理基地负责人介绍，专业认证的检查已通过，如果认证暂未公告，能否开展临床研究？感谢！急盼回复！",回复：国家食品药品监督管理局没有公告的专业，不能进行临床试验。具体请向国家局相关部门咨询。
[临床试验机构问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=2275),2009/12/7,"咨询内容：我们是重庆市中西医结合医院国家临床试验机构，认定专业有皮肤、肿瘤、神经内科。由于我院同重庆市中医院于2008年10月整合，目前中医院进行了整体搬迁，已正式营业，医院分为两地，原中西医结合医院留在原址。科室进行了整合，原认证地点为重庆市中西医结合医院所在地。由于工作需要，有如下问题进行咨询，我们需怎样操作或提交什么资料，敬请回复为盼！谢谢。
1、现临床试验能否在中医院进行？因为肿瘤科已整合，在两地均设有病区。医护人员统一管理。
2、如我们要在中医院申请中医专业，中医院是否还需要机构认证？
3、重庆市中西医结合医院国家临床试验机构是否需按执业许可证的名称更名为重庆市中医院？

　　　　　　　　致
礼！
 				

　　　　　　　　赵瑞亭
　　　　　　　　zrtof@21cn.com
　　　　　　　　　　2009-11-26",回复：请咨询国家食品药品监督管理局药品注册司研究监督处。
[有关一期临床试验资格的提问](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=2245),2009/10/27,咨询内容：老师您好！请问从哪里可以查询到国内哪些机构有做一期临床试验的资格，因为这里的数据库查询只能查到哪些机构通过GCP认证可进行2，3，4期大临床试验。是否通过GCP的认证的都可以进行一期临床试验呢！谢谢！,回复：国家局没有公告I期临床试验室资格的名单，可咨询国家食品药品监督管理局药品注册司研究监督处，电话：010－88331023。
[药品拆零管理](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=2199),2009/9/9,咨询内容：医疗机构购买大包装药品（例如复方维生B溶液、鱼石脂软膏）在制剂室分装成一定规格的制剂供临床使用，制剂外包装标注分装单位、有效期（根据药品原包装标示的有效期），分装后不检验直接在临床使用。因为涉及药品分装（一个生产过程并且可能带来污染），该行为如何界定？该行为是否属于药品拆零行为还是涉及制剂配制管理范畴？急盼！谢谢！,"回复：临床试验用药物,由申办者准备,临床试验药物的制备，应当符合《药品生产质量管理规范》。"
[关于老机构和专业复查咨询](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=2005),2009/7/3,"咨询内容：我是浙江大学医学院附属邵逸夫医院,本药物临床试验机构,2008年申请新专业同时申请对2005年国家食品药品监督管理局审批的浙江大学医学院附属邵逸夫医院药物临床试验机构和6个专业进行复查.国家食品药品监督管理局与2009年3月6日已下发受理通知书(受理号:GCP20090006X),现国家局发文6月份之前有效期到的机构和专业必须提出复查申请,我们这份受理通知书可以吗?是否还要重新申请对老专业复查报告.谢谢您在百忙中给予回复.","回复：有效期到的机构和专业必须提出复查申请,按国家局通知办."
[关于临床试验机构认证](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=2108),2009/7/3,"咨询内容：在SFDA网站的临床试验机构认定公告中的20个公告时间为从2005年2月3日发布的第一号公告至2009年3月第20号公告，这些名单表示被认证、承认的临床试验机构，那么原来SFDA在2004年公布的基地名单，与这20个公告不完全重复，那些老基地是否还被承认具备药物临床试验的资格？如果不承认，重新认证会以多长的时间表计划完成？那些老的基地绝大部分都是著名的大医院，应该不会有医院不想继续认证的。

还有就是原来的医院分科和如今的分科有变化时，该如何处理？比如原来肿瘤科获得认证，如今分成几个专门的肿瘤部门，比如消化、呼吸肿瘤等，原来的肿瘤认证是否仍可以包括这些细分的科室？如果细分后的科室新主任，有的接受过SFDA的GCP培训，有些没有，那又如何认可？
我们在找寻医院做临床试验的时候，如果经认证的机构不能满足试验需求，找还没有被认证、或2004年之前的老基地作试验，有什么关系吗？","回复：肿瘤专业通过后,再分成具体的肿瘤专业是可以的。其他问题可咨询国家局注册司研究监督处。"
[关于在SFDA备案的非基地医疗机构](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1484),2008/11/27,"咨询内容：《药品临床研究的若干规定》中指出，Ⅳ期临床协作单位可以是在SFDA登记备案的非基地医疗机构，请问他们是已经在SFDA备案了的还是申办方选好临床单位后到SFDA备案呢？如果是已经在SFDA备案的该如何查询？
    另，在数据库查询系统中的药物临床试验认证机构名单与公告通告中的药物临床试验认证机构认证公告的名单并不是完全相符，在选择药品临床研究基地时该以何为准？认证公告中没有，而数据库中有的可以选吗？",回复：本问题请咨询局安监司，010-88331013
[如何打印“ 药物临床试验机构资格认证标准和申请表格](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1585),2008/11/27,"咨询内容：您好！
合资的医疗机构可以申请”药物临床试验机构资格认证吗？“， 民营医院是否有资格申请？ 
谢谢！",回复：可致电局安监司咨询，010-88331013
[临床试验药物生产](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1586),2008/11/6,"咨询内容：尊敬的女士/先生，

我们是一家丹麦在中国的制药公司，打算在中国进行一个治疗过敏性疾病的生物药品（舌下滴剂）的临床试验，为以后在中国上市作准备，目前我们在中国没有生产工厂。但是我们想在中国生产供1-111期临床试验用的研究药物。我们只是需要在国内委托有 GMP证书的药厂生产出符合我们质量标准的药物就可以了， 还是有其他具体要求 如 先向SFDA申请、化药或生物制品药厂、剂型要求等？

谢谢

王国斌","回复：《药品生产监督管理办法》
第二十四条规定：药品委托生产的委托方应当是取得该药品批准文号的药品生产企业。
第二十八条规定：注射剂、生物制品（不含疫苗制品、血液制品）和跨省、自治区、直辖市的药品委托生产申请，由国家食品药品监督管理局负责受理和审批。"
[I期临床试验研究室药物测试还在进行吗？](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1381),2008/7/24,咨询内容：我们医院药物临床试验机构I期临床试验研究室已通过国家局现场检查合格，按规定应进入药物测试程序。经与中国药品生物制品检定所药检处联系，药检处许老师请我们咨询你们是否还能申请进行I期临床试验研究室药物测试。,"回复：现在不进行测试,最近国家局有I期临床检查意见出台"
[关于我院申报药物临床试验机构的问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1098),2008/4/15,咨询内容：我是河北医科大学第四医院负责申报临床试验机构的人员，我们医院06年初递交了申请，06年7月接受了SFDA专家组现场验收，到现在已经一年多了。请问我们申报机构的手续走到哪一步了？什么时候我们能够拿到批文？谢谢！,回复：过期，不再作答。08.4.15填写
[关于临床试验机构资格认证的问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=818),2007/11/30,"咨询内容：临床试验机构资格认证中
对于申请资格认定的专业不清楚，
比如放疗科属于放射治疗专业范畴吗？还是医学影像学专业？但它又是一个临床科室，主要治疗肿瘤患者，是否属于肿瘤专业？","回复：比较复杂，要看医院对科室的设置，现在在资格认定中有两种情况．
一是，大的说是医学影像专业，再具体是放射专业；
另一种情况，放在肿瘤专业．"
[临床试验的CRF表采用电子CRF表是否可以？](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1051),2007/11/30,"咨询内容：您好！请问如果临床研究的单位采用电子CRF表对原始记录进行录入，国家GCP认证中心是否认可其原始性？另外这种电子系统是否需要经过认证中心认证，或者药监局认可哪个单位的第3方认证？

谢谢","回复：你好
电子ＣＲＦ现在只是推荐使用，目前还没有部门进行认证，ＣＲＦ本来就不是原始资料．进一步可咨询ＳＦＤＡ安全监管司研究监督处，８８３３１００３或８８３３１０１３"
[关于GCP咨询](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=258),2007/1/10,"咨询内容：贵中心负责人：
您好，我院将准备申报药物临床试验机构资格认定，想向贵中心了解：
    1. 国家对申报时间有没有具体要求？
    2. 申报材料上交几份？
                           非常感谢！
                                                  新疆维吾尔自治区维吾尔医医院","回复：新疆维吾尔自治区维吾尔医医院：
     1、申报国家药物临床试验的机构，可随时申请。
     2、申请资料、申请表、电子软盘一式2份"
[问关于原药品临床试验基地及专业](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=157),2006/10/25,咨询内容：04年8月开始对原国家药品临床研究基地及专业进行复核检查，复核后有没有一个总的合格的原国家药品临床研究基地及专业目录？之后国家局出的资格认定公告1-11号包括原国家药品临床研究基地吗？如果没有包括那么为什么公告内有部分原国家药品临床研究基地呢，例如复旦大学肿瘤医院等？谢谢！,回复：目前尚无总目录，认定后的机构名单及专业请查询“国家食品药品监督管理局药物临床试验机构资格认定公告”。现资格认定所公告的不完全包括原国家药品临床研究基地，主要情况是一些原国家药品临床研究基地申请增加新专业，正处于资料审查、现场检查或审批的过程中。对于没有申请新增专业的原国家药品临床研究基地，该基地所在地食品药品监督管理部门对原专业进行了复核，复核合格的，国家局予以公告。
[河北医科大学第三医院是否是药物临床试验机构](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=90),2006/10/25,"咨询内容：我公司现在脊柱内固定器，准备在河北医科大学第三医院做临床试验，但不知到该医院是否是国家药临床局指定的临床基地医院，烦请叫贵中心及时给以回复。
谢谢",回复：医疗机构是否具备临床试验资格，请查询“国家食品药品监督管理局药物临床试验机构资格认定公告”。另外，脊柱内固定器属于医疗器械，其临床试验问题请咨询国家食品药品监督管理局医疗器械司。
[咨询临床研究机构资格](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=30),2006/8/30,"咨询内容：贵中心负责人：
您好，我公司准备开展肿瘤药物临床试验，想向贵中心了解上海肿瘤医院是否具有1期临床试验资格，非常感谢！",回复：尚未批准。请留意本网站首页“认证公告”栏目中“药物临床试验机构资格认定公告”。
